filter,26,,,
CASINHAS,AGRESTE SETENTRIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE SETENTRIONAL
CATENDE,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
CEDRO,SERTÃO CENTRAL,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO CENTRAL
CHA DE ALEGRIA,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
CHA GRANDE,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
CONDADO,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
CORRENTES,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
CORTES,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
CUMARU,AGRESTE SETENTRIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE SETENTRIONAL
CUPIRA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
CUSTODIA,SERTÃO DO MOXOTÓ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO MOXOTÓ
DORMENTES,SERTÃO DO SÃO FRANCISCO,SÃO FRANCISCO PERNAMBUCANO,SÃO FRANCISCO PERNAMBUCANO,SERTÃO DO SÃO FRANCISCO
ESCADA,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
EXU,SERTÃO DO ARARIPE,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO ARARIPE
FEIRA NOVA,AGRESTE SETENTRIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE SETENTRIONAL
FERNANDO DE NORONHA,RMR - NÚCLEO CENTRO,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO CENTRO
FERREIROS,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
FLORES,SERTÃO DO PAJEÚ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO PAJEÚ
FLORESTA,SERTÃO CENTRAL,SÃO FRANCISCO PERNAMBUCANO,SÃO FRANCISCO PERNAMBUCANO,SERTÃO CENTRAL
FREI MIGUELINHO,AGRESTE SETENTRIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE SETENTRIONAL
GAMELEIRA,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
GARANHUNS,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
GLORIA DO GOITA,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
GOIANA,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
GRANITO,SERTÃO DO ARARIPE,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO ARARIPE
GRAVATA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
IATI,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
IBIMIRIM,SERTÃO DO MOXOTÓ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO MOXOTÓ
IBIRAJUBA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
IGARASSU,RMR - NÚCLEO NORTE,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO NORTE
IGUARACY,SERTÃO DO PAJEÚ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO PAJEÚ
ILHA DE ITAMARACA,RMR - NÚCLEO NORTE,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO NORTE
INAJA,SERTÃO DO MOXOTÓ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO MOXOTÓ
INGAZEIRA,SERTÃO DO PAJEÚ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO PAJEÚ
IPOJUCA,RMR - NÚCLEO OESTE/SUL,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO OESTE/SUL
IPUBI,SERTÃO DO ARARIPE,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO ARARIPE
ITACURUBA,SERTÃO CENTRAL,SÃO FRANCISCO PERNAMBUCANO,SÃO FRANCISCO PERNAMBUCANO,SERTÃO CENTRAL
ITAIBA,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
ITAMBE,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
ITAPETIM,SERTÃO DO PAJEÚ,SERTÃO PERNAMBUCANO,SERTÃO PERNAMBUCANO,SERTÃO DO PAJEÚ
ITAPISSUMA,RMR - NÚCLEO NORTE,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO NORTE
ITAQUITINGA,MATA NORTE,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA NORTE
JABOATAO DOS GUARARAPES,RMR - NÚCLEO OESTE/SUL,METROPOLITANA DE RECIFE,METROPOLITANA DE RECIFE,RMR - NÚCLEO OESTE/SUL
JAQUEIRA,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
JATAUBA,AGRESTE CENTRAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE CENTRAL
JATOBA,SERTÃO CENTRAL,SÃO FRANCISCO PERNAMBUCANO,SÃO FRANCISCO PERNAMBUCANO,SERTÃO CENTRAL
JOAO ALFREDO,AGRESTE SETENTRIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE SETENTRIONAL
JOAQUIM NABUCO,MATA SUL,MATA PERNAMBUCANA,MATA PERNAMBUCANA,MATA SUL
JUCATI,AGRESTE MERIDIONAL,AGRESTE PERNAMBUCANO,AGRESTE PERNAMBUCANO,AGRESTE MERIDIONAL
